gameID,theme
798,Drama
798,Mystery
132088,Fantasy
132088,Drama
132088,Romance
61906,Business
12713,NA
4746,Action
4746,Fantasy
4746,Comedy
218957,Fantasy
218957,Romance
7208,Action
7208,Fantasy
5042,Fantasy
5042,Historical
10133,Comedy
7641,Action
7641,Science fiction
204123,Action
204123,Comedy
204123,Sandbox
204123,Open world
11781,Science fiction
11781,Drama
11781,Warfare
11781,Romance
947,Action
947,Comedy
5335,Action
5335,Comedy
5335,Sandbox
5335,Open world
1376,Action
203138,Action
51799,Sandbox
6247,Action
6247,Fantasy
84626,NA
6515,NA
20617,Action
62346,NA
58442,NA
67350,Romance
2013,Fantasy
2013,Historical
2013,"4X (explore, expand, exploit, and exterminate)"
61237,NA
64313,NA
5215,NA
10473,NA
124633,NA
91773,NA
100262,NA
5267,NA
64360,Historical
64360,Comedy
64360,Drama
56771,NA
76454,Drama
76454,Romance
78445,NA
67883,Drama
67883,Mystery
69115,NA
63644,Horror
63644,Comedy
24351,NA
70674,NA
67000,NA
61943,Drama
61943,Romance
142453,Action
18487,Action
18487,Fantasy
60089,Fantasy
60089,Historical
63990,Fantasy
63990,Romance
181498,Fantasy
181498,Romance
62093,Romance
66091,NA
59401,NA
201644,Action
201644,Fantasy
140091,Action
136637,NA
62351,NA
71946,NA
61661,NA
59391,Fantasy
59391,Historical
59391,Drama
59391,Romance
63542,NA
60445,NA
91483,NA
8661,NA
3919,Action
133486,NA
43722,NA
26635,Action
5283,NA
43270,Open world
4154,Action
3777,Action
205921,NA
218958,Fantasy
218958,Romance
27027,NA
53029,Action
50582,Action
70251,Fantasy
70251,Historical
64212,Action
64212,Science fiction
67884,NA
14551,Fantasy
14551,Science fiction
14551,Historical
1673,Action
1673,Science fiction
754,Action
754,Historical
754,Warfare
3937,Action
51131,NA
78777,Action
78777,Sandbox
78777,Educational
6512,Educational
74421,Action
74421,Science fiction
143417,NA
926,Action
926,Science fiction
131915,Fantasy
131915,Drama
131915,Romance
3918,NA
47310,NA
44997,Action
44997,Science fiction
49340,Action
49340,Science fiction
47884,NA
2034,NA
6234,Action
6234,Stealth
14888,NA
7123,NA
83245,Action
7047,Fantasy
7047,Historical
49402,Fantasy
206637,NA
7309,Action
197931,NA
2671,NA
21232,Action
5721,NA
3788,Action
6353,Action
215184,NA
215182,NA
44959,NA
47368,Action
519,Action
519,Science fiction
519,Horror
210448,Action
210448,Fantasy
210448,Science fiction
203266,Romance
203406,NA
2148,Action
2148,Fantasy
2148,Comedy
6553,Action
10740,NA
7686,Action
7686,Historical
1840,Fantasy
11833,Science fiction
193702,NA
217545,NA
36745,Action
36745,Kids
8194,NA
215181,Fantasy
215181,Horror
17734,Action
6193,Fantasy
6193,Mystery
6193,Romance
6345,Action
6345,Historical
6345,Comedy
6345,Educational
215185,NA
4075,Action
429,Action
5333,Action
5333,Science fiction
13552,Action
26148,Horror
26148,Thriller
26148,Mystery
50648,NA
7206,Science fiction
36260,Historical
41,Action
41,Science fiction
41,Stealth
6969,Action
6969,Science fiction
9112,Action
9112,Fantasy
9112,Comedy
214573,Comedy
6441,Action
6441,Fantasy
6441,Science fiction
4898,NA
7385,Action
7385,Science fiction
24185,Action
14410,Science fiction
134528,Action
134528,Comedy
134528,Kids
20055,NA
1878,Fantasy
18075,Action
2174,Action
2174,Fantasy
2174,Science fiction
2174,Comedy
43953,Horror
47483,NA
47649,NA
47482,Action
60857,Drama
60857,Romance
60953,Fantasy
60953,Drama
60953,Romance
730,Action
730,Sandbox
730,Open world
944,NA
130752,NA
2043,Fantasy
2043,Historical
62623,NA
7185,NA
198993,NA
118948,NA
71887,Action
123305,NA
80464,Drama
80464,Romance
66536,NA
21614,NA
193595,NA
69796,Action
122497,NA
61272,Fantasy
124279,NA
61263,Drama
61263,Romance
72952,Action
59156,NA
124015,NA
93388,NA
78401,NA
86190,Drama
86190,Romance
47934,NA
58057,Fantasy
58057,Romance
81499,NA
81537,NA
49175,NA
180418,Warfare
122249,NA
84808,NA
84559,NA
18326,Action
136211,Action
136211,Fantasy
24168,Action
51072,NA
43603,Action
63842,NA
67618,NA
90926,NA
122547,NA
122528,Kids
79871,Erotic
4227,Action
193353,Action
193353,Fantasy
193353,Party
132073,Drama
132073,Romance
21249,NA
202994,Romance
154271,Action
43880,Action
47855,Sandbox
47816,NA
92812,NA
86227,NA
10704,Action
10704,Science fiction
547,Action
547,Science fiction
547,Horror
214655,Fantasy
214655,Drama
214655,Romance
80770,NA
64873,Romance
92863,NA
147806,Drama
147806,Erotic
147806,Romance
61660,Drama
61660,Romance
43478,Action
20619,NA
133238,NA
194937,Action
194937,Science fiction
194937,Comedy
144785,Comedy
144785,Party
66964,Romance
193354,Action
193354,Fantasy
18655,Action
18655,Science fiction
6389,Kids
6389,Party
5304,Comedy
5304,Party
197870,NA
41823,Drama
41823,Romance
20776,Historical
51182,Action
2028,Fantasy
8292,Fantasy
8292,Comedy
3181,NA
132071,Drama
132071,Romance
42746,Drama
42746,Romance
7067,Action
61688,Drama
61688,Romance
208470,NA
100072,Comedy
100072,Party
9889,NA
21487,NA
47706,NA
1593,Fantasy
680,Action
680,Science fiction
55009,Action
55009,Science fiction
208685,NA
44523,NA
37288,Action
2008,Historical
2008,Warfare
22290,Action
47704,NA
43339,Fantasy
43339,Comedy
3983,Action
1097,Action
22953,NA
72713,NA
221472,Action
221472,Science fiction
221472,Romance
20763,NA
23080,Business
46066,NA
68264,Mystery
202470,Action
18600,NA
9824,Fantasy
9824,Historical
7193,Action
7193,Science fiction
739,Action
739,Fantasy
739,Educational
4569,NA
198828,Action
48043,NA
5092,NA
202592,Romance
65716,NA
200912,Action
6236,Action
209000,NA
21243,NA
5433,Action
91712,NA
670,Science fiction
209170,NA
220096,Fantasy
47335,NA
5732,Action
5732,Science fiction
1618,Action
202112,NA
51764,Fantasy
30147,Fantasy
30147,Comedy
214798,Drama
214798,Romance
945,NA
144278,Action
144278,Fantasy
144278,Party
452,Action
452,Fantasy
13147,Fantasy
13147,Comedy
13147,Sandbox
13147,Romance
3116,Comedy
13198,Action
13198,Historical
4133,Action
3081,Action
3081,Comedy
98665,Comedy
98665,Drama
98665,Romance
119,Action
119,Fantasy
190,Action
190,Science fiction
190,Comedy
27946,Historical
27946,Warfare
6294,Action
6294,Comedy
8768,Fantasy
8768,Historical
8768,Sandbox
8768,Open world
21850,Action
23281,Action
7706,Action
7706,Horror
7706,Survival
7706,Stealth
7706,Drama
7706,Warfare
67992,NA
221288,Comedy
221288,Drama
221288,Mystery
5082,Fantasy
5082,Historical
5082,Open world
16719,Action
47891,Action
11489,Action
11489,Fantasy
11489,Warfare
3839,NA
21553,Action
21553,Horror
21553,Comedy
16090,NA
3077,Action
3077,Fantasy
3077,Historical
3077,Stealth
3077,Warfare
236,Fantasy
236,Mystery
5583,Action
5583,Science fiction
47426,NA
61171,Romance
204392,Comedy
204392,Romance
141568,Fantasy
141568,Mystery
6176,Horror
6176,Drama
6176,Mystery
21610,Comedy
21610,Drama
21610,Mystery
78105,NA
152398,Action
13128,Fantasy
13128,Comedy
13128,Sandbox
13128,Romance
198289,NA
198285,NA
61159,Action
61159,Comedy
4882,Action
123452,NA
43397,NA
92207,NA
78349,NA
54275,NA
14813,NA
50940,NA
9932,Action
9932,Fantasy
9932,Historical
9932,Warfare
5908,Action
58445,NA
54229,NA
7162,Science fiction
68121,Erotic
163235,NA
79853,NA
6010,Science fiction
79306,Romance
67103,NA
61856,NA
198282,NA
198283,NA
198284,NA
68362,Action
68362,Science fiction
198287,NA
198288,NA
62459,Fantasy
62459,Romance
4149,Action
56773,NA
47778,NA
61631,NA
222119,Fantasy
222119,Romance
125528,NA
67100,NA
25018,Educational
72867,NA
35974,NA
22598,Action
50986,NA
49287,NA
40426,Comedy
143398,NA
125955,NA
62539,NA
128369,NA
101613,Action
47856,NA
56516,NA
112296,Comedy
112296,Drama
112296,Romance
9068,Action
9068,Fantasy
59958,Drama
59958,Romance
58277,NA
3880,Action
3880,Fantasy
51011,Action
21906,NA
49333,Action
49333,Science fiction
9439,Business
9439,Sandbox
65510,NA
49323,Action
191662,Action
218942,NA
49224,Action
43276,NA
44744,NA
3855,Action
59618,Business
59110,Action
59110,Science fiction
49363,Action
61857,NA
80821,Action
198249,NA
20814,NA
8512,Action
8538,Action
8538,Horror
271,Action
271,Warfare
59360,Drama
59360,Romance
9331,Action
9331,Comedy
9331,Warfare
208608,Action
44976,Action
44976,Historical
51027,NA
20435,NA
64667,Fantasy
64667,Romance
78938,Action
78938,Science fiction
10055,Fantasy
49318,Action
49318,Science fiction
140987,Action
140987,Fantasy
140987,Mystery
78590,NA
47802,NA
23716,Science fiction
6642,Action
4088,Action
20578,Comedy
20578,Mystery
87594,Comedy
87594,Warfare
11519,Comedy
7627,Business
7627,Sandbox
112909,Action
11286,Action
11286,Survival
140125,NA
6013,Action
6013,Science fiction
60332,Comedy
60332,Drama
60332,Romance
21283,Action
21283,Fantasy
21283,Historical
21283,Warfare
4831,Action
200590,NA
47917,Horror
47917,Comedy
21504,Action
21504,Science fiction
44979,Action
50948,NA
62136,Fantasy
5198,NA
6413,NA
9507,Action
21581,Science fiction
67766,NA
49367,Action
13216,Action
13216,Fantasy
79533,NA
50395,Fantasy
50395,Mystery
206773,NA
85843,Action
22401,Science fiction
27485,Non-fiction
27485,Educational
43935,NA
19657,Mystery
198286,NA
137079,NA
9957,Business
6344,Action
67853,NA
9443,Action
48034,NA
203044,NA
209197,NA
1554,Action
1554,Science fiction
200904,Comedy
200904,Warfare
84336,Action
6747,NA
927,Action
927,Science fiction
12844,Action
12844,Science fiction
8877,Action
8877,Comedy
8877,Warfare
14359,Thriller
14359,Mystery
85504,NA
4829,Action
4829,Fantasy
5475,Fantasy
5475,Warfare
19591,NA
11051,Action
11051,Fantasy
7386,Action
7386,Science fiction
8662,Fantasy
8662,Historical
5313,Action
895,Action
895,Fantasy
895,Science fiction
895,Mystery
477,Action
477,Historical
477,Stealth
20308,Action
20308,Comedy
17470,Thriller
17470,Mystery
36338,NA
13669,Action
13669,Fantasy
13669,Historical
222120,Drama
222120,Romance
1151,Fantasy
1151,Thriller
1151,Historical
1151,Drama
21134,NA
6185,Drama
6185,Mystery
19962,Action
46768,Action
52602,Action
52602,Stealth
52602,Comedy
52602,Open world
52602,Romance
21027,Fantasy
20925,Action
20925,Science fiction
2025,Action
2025,Fantasy
2025,Historical
2025,Sandbox
2025,Open world
2025,"4X (explore, expand, exploit, and exterminate)"
59157,NA
72480,NA
22059,NA
142473,Action
142473,Fantasy
51002,NA
35315,Action
21186,Action
4777,NA
147162,NA
21439,Action
67735,NA
64544,NA
66223,NA
3043,Action
3043,Historical
67861,NA
2021,Action
2021,Sandbox
42670,Comedy
828,Action
828,Horror
7415,Horror
7415,Survival
6988,Science fiction
209882,NA
18165,Action
18165,Science fiction
18165,Warfare
62085,Historical
62085,Romance
93600,NA
10909,Action
10909,Fantasy
10909,Horror
10909,Survival
23107,NA
10644,Warfare
98140,NA
5932,Action
71864,NA
6187,Action
6187,Historical
47820,Action
6026,NA
128874,Action
44071,NA
37846,Action
20589,Action
56766,Fantasy
56766,Drama
56766,Romance
58465,Action
51044,Party
63385,NA
125786,NA
11428,Business
43407,NA
23397,NA
52386,Business
6215,NA
67760,Action
50732,NA
51156,Action
77154,NA
48044,NA
62126,NA
53148,Historical
27899,Action
21735,NA
15793,Action
64668,Action
64668,Comedy
64668,Drama
64668,Romance
20539,Action
23357,Action
14806,NA
68236,Fantasy
68236,Historical
201909,NA
43396,NA
152077,NA
3415,Action
147012,Fantasy
85589,Comedy
85589,Kids
21029,Fantasy
206021,Drama
206021,Romance
193858,Action
78688,Comedy
177,Action
177,Science fiction
64871,Fantasy
64871,Romance
755,Historical
755,Warfare
23141,Educational
37018,NA
14529,Fantasy
14529,Historical
69120,NA
1054,Science fiction
72681,Fantasy
72681,Romance
46000,Action
45128,Action
45128,Science fiction
5881,Action
5881,Science fiction
325,Action
325,Science fiction
325,Horror
325,Survival
3850,Action
56242,Action
56242,Comedy
159266,Comedy
159266,Kids
94739,NA
9258,Action
9258,Horror
9258,Comedy
10253,Action
6573,Action
4950,NA
5171,NA
21272,Action
21272,Science fiction
49030,Action
49030,Comedy
197939,Science fiction
42687,Action
42687,Fantasy
42687,Party
774,Fantasy
126283,Action
126283,Fantasy
58722,Fantasy
58722,Comedy
38462,Action
38462,Horror
47340,Action
47340,Fantasy
47340,Historical
50636,Comedy
178079,Drama
178079,Romance
23694,NA
166708,NA
69179,Action
22564,NA
5775,Action
222121,Horror
222121,Drama
222121,Romance
13130,Fantasy
13130,Comedy
13130,Sandbox
13130,Romance
3697,Historical
3697,"4X (explore, expand, exploit, and exterminate)"
45116,Fantasy
45116,Comedy
45116,Sandbox
45116,Romance
23806,Action
23806,Fantasy
11829,Science fiction
29190,Action
29190,Fantasy
80061,NA
3344,Non-fiction
21653,NA
4273,NA
5111,NA
6615,Action
6615,Comedy
4797,Action
4797,Horror
4797,Survival
4797,Comedy
4797,Sandbox
5856,NA
3906,Action
3909,Action
6967,NA
24131,Action
24131,Science fiction
51701,NA
749,Science fiction
749,Warfare
4248,Action
4248,Fantasy
3078,Action
3078,Historical
3078,Stealth
3078,Warfare
4603,Action
4603,Science fiction
47725,Action
21049,NA
65754,Fantasy
65754,Horror
65754,Thriller
65754,Mystery
60932,Fantasy
60932,Historical
212736,Drama
212736,Romance
3406,Action
9745,Action
77028,NA
38124,Comedy
72686,Action
72686,Romance
67746,NA
66178,Historical
123274,NA
64802,Drama
64802,Romance
6158,Action
50664,Action
63417,NA
222445,NA
65167,NA
61260,Drama
61260,Romance
5989,NA
69164,NA
21830,Fantasy
21830,Historical
21255,Action
78814,NA
94857,NA
94844,NA
72743,NA
49704,NA
72968,NA
61940,Drama
61940,Romance
1338,Action
1338,Business
1338,Non-fiction
1338,Sandbox
21440,NA
20521,Action
20521,Science fiction
20521,Sandbox
49185,NA
20576,NA
44800,Action
7663,Fantasy
92625,NA
44715,NA
613,Action
613,Fantasy
613,Science fiction
613,Historical
131154,NA
56515,Fantasy
56515,Drama
56515,Romance
125676,NA
47322,NA
218385,NA
83247,NA
123332,NA
9279,Action
9279,Fantasy
9279,Horror
44978,Action
196855,Fantasy
47437,NA
47356,NA
4217,Action
68436,Historical
68436,Warfare
51043,NA
130480,NA
4952,NA
74908,Action
74908,Science fiction
20723,NA
60780,NA
51815,Historical
171769,Action
20242,NA
12796,Action
12796,Science fiction
72685,NA
23111,Action
45092,Action
736,NA
3901,NA
5781,Action
5781,Stealth
45304,NA
43857,NA
47843,NA
38475,Action
26272,Science fiction
51016,Action
51105,NA
19435,Fantasy
19435,Historical
6486,Action
6974,Thriller
145337,NA
7510,Historical
49400,Educational
64320,Thriller
64320,Mystery
47713,NA
50919,Historical
50919,Warfare
6587,Action
6587,Comedy
316,Action
316,Stealth
19882,Open world
66540,NA
36746,Action
44562,NA
215,Action
215,Fantasy
1491,Business
23390,Action
23390,Science fiction
2154,Sandbox
6324,Action
14368,Action
14368,Science fiction
14368,Warfare
127796,Comedy
127796,Drama
93200,Action
93200,Thriller
93200,Party
43553,NA
66613,Action
3859,Action
44877,Action
234,Action
234,Fantasy
234,Historical
206785,NA
695,Action
695,Non-fiction
5718,Action
174,Action
174,Science fiction
174,Warfare
85430,Educational
85430,Kids
19884,NA
218955,Fantasy
218955,Romance
196701,"4X (explore, expand, exploit, and exterminate)"
21532,Action
3700,Historical
3700,"4X (explore, expand, exploit, and exterminate)"
12495,Action
12495,Science fiction
9926,Fantasy
9926,Historical
49454,Action
78635,NA
12916,Action
12916,Warfare
28397,Action
28397,Science fiction
7124,Action
7124,Comedy
7124,Sandbox
8325,Educational
3628,Action
3628,Science fiction
3628,Historical
8394,Action
8394,Fantasy
349,Action
349,Science fiction
24234,NA
26915,Action
26915,Fantasy
53861,NA
28391,Fantasy
28391,Comedy
28391,Kids
69110,Science fiction
69110,Comedy
43599,NA
46589,Action
44527,Action
35917,NA
642,Non-fiction
219130,Fantasy
219130,Romance
219129,Fantasy
219129,Romance
6933,Action
7877,Action
7877,Fantasy
175914,NA
9269,Action
9269,Fantasy
11394,Fantasy
11394,Science fiction
11394,Historical
54246,Mystery
7584,Action
7584,Science fiction
7584,Warfare
6174,Action
6174,Science fiction
123337,NA
23849,Science fiction
214,Fantasy
83,Action
83,Fantasy
98666,Drama
98666,Romance
42766,NA
123130,Drama
123130,Romance
155207,Action
155207,Science fiction
22773,Action
9907,NA
60978,Historical
60978,Drama
60978,Romance
45036,Action
7468,Action
20138,Action
20138,Science fiction
240,Action
240,Historical
240,Warfare
5871,Action
5871,Science fiction
5871,Sandbox
5871,Educational
92629,NA
7173,Action
7173,Fantasy
7173,Historical
219135,Fantasy
219135,Romance
25368,NA
80815,Science fiction
80815,Comedy
44415,NA
19195,Action
6538,Action
45411,Romance
181385,Mystery
44590,NA
91253,NA
37955,Fantasy
37955,Historical
47374,NA
50998,Action
80230,NA
80386,NA
78379,NA
2650,Comedy
2650,Kids
67578,NA
59379,NA
79942,Fantasy
210191,NA
80781,NA
41586,NA
6343,Action
6343,Horror
204566,Action
204566,Fantasy
7251,NA
335,Action
335,Historical
335,Warfare
203996,NA
4534,Action
4534,Fantasy
4534,Science fiction
4534,Horror
4534,Comedy
19936,NA
204613,Action
69147,NA
49334,Action
78107,NA
42716,NA
93991,NA
57228,NA
21784,NA
99954,NA
49764,NA
3786,Action
3786,Comedy
49358,Action
146664,Fantasy
146664,Romance
137395,NA
3605,Action
3605,Science fiction
3605,Comedy
57560,Action
28056,NA
54096,NA
60481,NA
201339,Action
201339,Sandbox
132092,Drama
132092,Romance
78415,Fantasy
22100,Fantasy
9320,Action
9320,Science fiction
9320,Sandbox
9320,"4X (explore, expand, exploit, and exterminate)"
588,Action
588,Fantasy
4633,Action
4633,Party
8455,Action
18541,Action
6348,Fantasy
136769,NA
24348,NA
209752,NA
3367,Non-fiction
27641,Business
6418,Action
47331,NA
3868,Action
44519,NA
36366,Business
180401,Survival
49217,Action
43391,NA
10665,Action
66989,Action
66989,Sandbox
51135,NA
76852,Action
141653,Action
141653,Fantasy
6054,Fantasy
6054,Science fiction
5931,Action
49288,Action
91678,Comedy
45022,NA
49219,NA
6368,NA
45990,Romance
3936,Action
3936,Science fiction
3925,Action
3925,Science fiction
223631,Action
4765,Action
4765,Comedy
5914,Science fiction
37995,Science fiction
37995,Educational
42741,Fantasy
7241,Fantasy
180002,Business
180002,Non-fiction
145186,Action
197537,Action
7026,Historical
7026,Warfare
25665,Fantasy
25665,Science fiction
64581,Horror
64581,Mystery
133860,Action
8118,Action
8118,Fantasy
8118,Comedy
21236,Action
6312,Action
10564,NA
106270,Action
106270,Kids
20089,Action
20089,Comedy
7971,Action
11799,Drama
50945,NA
20099,Action
8947,Action
8947,Fantasy
8947,Historical
60250,Action
60250,Horror
60250,Comedy
3590,Action
16631,Action
208990,NA
2743,Action
242,Fantasy
242,Historical
242,Warfare
23692,NA
6550,Action
25934,Action
25934,Fantasy
128290,NA
1569,Action
5536,Fantasy
5536,Comedy
5536,Sandbox
5536,Romance
180001,Business
180001,Non-fiction
9680,Action
9680,Stealth
2010,Fantasy
2010,Historical
18993,Comedy
18993,Kids
73299,Action
73299,Fantasy
73299,Historical
73299,Comedy
196251,Action
196251,Thriller
196251,Drama
34567,NA
20249,Action
20249,Science fiction
6611,Fantasy
6611,Comedy
6611,Party
39695,Science fiction
3791,NA
974,Action
974,Horror
974,Survival
2472,Action
10381,NA
204643,Action
204643,Fantasy
204643,Historical
69074,Science fiction
69074,Comedy
69074,Mystery
18,Action
18,Thriller
11582,Science fiction
11582,"4X (explore, expand, exploit, and exterminate)"
2042,Action
2042,Fantasy
2042,Comedy
2042,Drama
890,Drama
890,Mystery
2473,Action
47832,Action
145191,Action
145191,Horror
145191,Survival
18815,Action
18815,Horror
18815,Comedy
2438,Action
2438,Historical
2853,Fantasy
38480,Action
10965,Action
10965,Open world
4824,Action
1274,Business
1274,Sandbox
10463,Action
10463,Comedy
21348,Action
21348,Science fiction
16093,NA
77554,NA
132181,Action
132181,Horror
132181,Mystery
60958,Drama
60958,Romance
1272,Business
1272,Sandbox
21045,Mystery
20816,Action
20816,Science fiction
6250,Action
6250,Fantasy
20738,Action
2689,Action
2689,Sandbox
872,Science fiction
872,"4X (explore, expand, exploit, and exterminate)"
47909,NA
6614,Science fiction
6614,Horror
6614,Thriller
6614,Survival
6614,Mystery
98508,NA
113890,NA
27888,Fantasy
27888,Horror
27888,Historical
27888,Mystery
80465,NA
66783,NA
92118,NA
123475,Drama
45202,NA
196741,Fantasy
69404,NA
750,Science fiction
37731,Action
95007,NA
49716,NA
21234,NA
21299,NA
97616,NA
78298,NA
92708,NA
10549,Horror
80747,NA
62837,NA
112526,NA
61388,NA
2303,NA
3321,NA
5817,Action
5817,Sandbox
15915,Action
15915,Science fiction
15915,Comedy
69973,NA
21475,NA
20693,NA
6305,NA
6839,Action
6839,Fantasy
6839,Sandbox
49582,NA
37902,Non-fiction
56704,Drama
56704,Romance
19806,Non-fiction
1608,"4X (explore, expand, exploit, and exterminate)"
94119,Fantasy
94119,Romance
24146,Historical
24146,Warfare
80746,NA
46071,Action
53564,NA
38483,Action
38483,Fantasy
9748,Action
152029,NA
6654,Historical
130390,NA
22574,NA
60930,Fantasy
60930,Historical
21332,NA
8338,Action
8338,Fantasy
8338,Science fiction
8338,Educational
62353,NA
8120,NA
96492,Fantasy
8630,Action
8630,Sandbox
24198,NA
49194,Action
57675,Action
57675,Comedy
8021,Action
194978,NA
100236,NA
38513,Action
38513,Fantasy
45471,NA
91390,NA
6769,NA
3882,Action
3882,Comedy
77250,Action
25172,Action
7997,Action
200689,NA
23033,NA
1863,Action
1863,Fantasy
1863,Historical
1863,Warfare
14509,NA
124110,Drama
124110,Romance
49001,Action
49307,Action
143385,NA
6835,Action
6835,Fantasy
6206,Action
185710,Action
185710,Romance
6352,Action
176054,NA
177578,NA
3933,Action
3933,Comedy
206280,NA
188071,Action
188071,Fantasy
11358,Action
11358,Fantasy
52929,Historical
43386,NA
22515,Action
3903,Science fiction
3903,Historical
51005,NA
132717,Drama
132717,Educational
43613,Action
43613,Stealth
43613,Drama
4774,NA
42718,Sandbox
14857,Erotic
43678,Action
43678,Science fiction
24284,Action
24284,Historical
20560,NA
44778,NA
63409,Historical
63409,Mystery
197941,NA
11696,Action
11696,Survival
72838,NA
4768,Action
18340,NA
45991,Romance
3844,Action
21052,Action
21052,Comedy
25699,Fantasy
10944,Fantasy
23096,NA
177076,Fantasy
17268,Action
21437,NA
8430,Action
3481,Action
3481,Science fiction
3481,Comedy
12884,Drama
12884,Mystery
12884,Romance
56893,NA
20139,NA
80031,Business
70599,NA
19363,Action
61419,NA
209853,NA
13129,Fantasy
13129,Comedy
13129,Sandbox
13129,Romance
11832,Science fiction
134505,Action
51468,Action
38456,NA
2040,Action
2040,Fantasy
2040,Historical
221576,NA
6493,Action
15556,Action
218962,Fantasy
218962,Romance
2132,Action
2132,Horror
2132,Comedy
2132,Drama
136762,Romance
50950,NA
9854,Action
9854,Warfare
47903,Action
7144,Fantasy
7144,Comedy
7144,Kids
5511,Horror
5511,Mystery
17623,NA
20013,Fantasy
20013,Horror
22300,Action
15894,Historical
15894,Warfare
5642,Fantasy
5642,Science fiction
23094,Fantasy
23094,Party
11217,Action
11217,Science fiction
15069,Sandbox
15069,Open world
47973,Action
216,Fantasy
11565,Action
10201,Warfare
5750,Action
20549,NA
23012,NA
175917,NA
6332,Historical
6332,Educational
80615,NA
122904,NA
6416,Action
6416,Comedy
78335,NA
36752,Action
210009,NA
153539,Fantasy
153539,Science fiction
1573,Action
198171,Action
122512,NA
91923,NA
58540,NA
59333,Action
107166,NA
176663,Action
5741,Action
5741,Science fiction
124019,NA
44720,NA
80797,NA
49530,Action
49530,Comedy
2824,Action
2824,Comedy
37321,NA
49179,Action
38471,Action
80876,NA
138351,Fantasy
21298,Action
21298,Horror
22532,NA
20977,NA
61390,Action
21274,NA
44015,Action
23057,Action
67752,NA
80340,NA
3190,Action
3190,Fantasy
3190,Science fiction
23017,NA
146658,Fantasy
146658,Romance
63581,NA
941,NA
3809,Action
9131,NA
22241,Action
130426,NA
9756,NA
42890,NA
9764,Fantasy
9764,Historical
80488,NA
6004,Historical
6004,Non-fiction
92353,NA
28055,Horror
28055,Survival
42750,NA
48788,NA
24293,Action
24293,Science fiction
91396,Historical
49166,Action
61941,Drama
61941,Romance
62114,NA
43385,NA
44945,Action
50941,Educational
50941,Party
97232,NA
198115,NA
6238,NA
49384,NA
18270,NA
187304,NA
42886,Action
42880,Action
48287,Fantasy
48287,Historical
48287,Warfare
65146,Action
49390,Action
49390,Horror
7250,NA
221321,Romance
50947,NA
25100,Fantasy
6177,Action
6177,Science fiction
6177,Stealth
22284,Action
19894,NA
6437,Action
39447,NA
15058,Fantasy
26730,Action
26730,Fantasy
26730,Horror
