kglID,Title,Year,Publisher,Genre
187,Spyro the Dragon,1998,Sony Computer Entertainment,Platform
188,Link's Crossbow Training,2007,Nintendo,Shooter
189,Guitar Hero III: Legends of Rock,2007,Activision,Misc
190,Fallout 3,2008,Bethesda Softworks,Role-Playing
191,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Nintendo,Role-Playing
192,Uncharted: Drake's Fortune,2007,Sony Computer Entertainment,Action
193,Madden NFL 06,2005,Electronic Arts,Sports
194,Diddy Kong Racing,1997,Nintendo,Racing
195,Monster Hunter Freedom 3,2010,Capcom,Role-Playing
196,Dr. Mario,1990,Nintendo,Puzzle
197,God of War III,2010,Sony Computer Entertainment,Action
198,StarCraft II: Wings of Liberty,2010,Activision,Strategy
199,Crash Team Racing,1999,Sony Computer Entertainment,Racing
200,FIFA 17,2016,Electronic Arts,Sports
201,Driver 2,2000,Atari,Action
202,The Simpsons: Hit & Run,2003,Vivendi Games,Racing
203,Tony Hawk's Pro Skater 2,2000,Activision,Sports
204,Animal Crossing: City Folk,2008,Nintendo,Simulation
205,The Lord of the Rings: The Two Towers,2002,Electronic Arts,Action
206,Forza Motorsport 4,2011,Microsoft Game Studios,Racing
207,Tomb Raider,1996,Eidos Interactive,Action
208,The Legend of Zelda: A Link to the Past,1991,Nintendo,Action
209,The Legend of Zelda: The Wind Waker,2002,Nintendo,Action
210,Mario & Sonic at the Olympic Winter Games,2009,Sega,Sports
211,Luigi's Mansion: Dark Moon,2013,Nintendo,Action
212,Splatoon,2015,Nintendo,Shooter
213,The Last of Us,2014,Sony Computer Entertainment,Action
214,Madden NFL 2005,2004,Electronic Arts,Sports
215,Pitfall!,1981,Activision,Platform
216,Madden NFL 07,2006,Electronic Arts,Sports
217,Spider-Man: The Movie,2002,Activision,Action
218,Dragon Quest VII: Warriors of Eden,2000,Enix Corporation,Role-Playing
219,Uncharted: The Nathan Drake Collection,2015,Sony Computer Entertainment,Action
220,God of War,2005,Sony Computer Entertainment,Action
221,Nintendo Land,2012,Nintendo,Misc
222,Michael Jackson: The Experience,2010,Ubisoft,Misc
223,Tony Hawk's Pro Skater 3,2001,Activision,Sports
224,Winning Eleven: Pro Evolution Soccer 2007,2006,Konami Digital Entertainment,Sports
225,The Elder Scrolls IV: Oblivion,2006,Take-Two Interactive,Role-Playing
226,Zelda II: The Adventure of Link,1987,Nintendo,Adventure
227,Need for Speed: Most Wanted,2005,Electronic Arts,Racing
228,Resistance: Fall of Man,2006,Sony Computer Entertainment,Shooter
229,Sonic the Hedgehog,1991,Sega,Platform
230,Kingdom Hearts II,2005,Square Enix,Role-Playing
231,Asteroids,1980,Atari,Shooter
232,Fable II,2008,Microsoft Game Studios,Role-Playing
233,Halo 5: Guardians,2015,Microsoft Game Studios,Shooter
234,Super Mario 3D World,2013,Nintendo,Platform
235,Batman: Arkham Asylum,2009,Eidos Interactive,Action
236,Assassin's Creed: Revelations,2011,Ubisoft,Action
237,Namco Museum,2001,Namco Bandai Games,Misc
238,Metal Gear Solid 3: Snake Eater,2004,Konami Digital Entertainment,Action
239,Daxter,2006,Sony Computer Entertainment,Platform
240,Warcraft II: Tides of Darkness,1995,Activision,Strategy
241,The Legend of Zelda: Ocarina of Time,2011,Nintendo,Action
242,FIFA Soccer 06,2005,Electronic Arts,Sports
243,EyeToy Play,2003,Sony Computer Entertainment,Misc
244,Uncharted 4: A Thief's End,2016,Sony Computer Entertainment,Shooter
245,Gran Turismo 5 Prologue,2007,Sony Computer Entertainment,Racing
246,Street Fighter IV,2009,Capcom,Fighting
247,Teenage Mutant Ninja Turtles,1989,Palcom,Action
248,Excitebike,1984,Nintendo,Racing
249,Frogger,1997,Hasbro Interactive,Action
250,Madden NFL 2003,2002,Electronic Arts,Sports
251,Watch Dogs,2014,Ubisoft,Action
252,Half-Life,1997,Vivendi Games,Shooter
253,Super Mario World 2: Yoshi's Island,1995,Nintendo,Platform
254,FIFA Soccer 07,2006,Electronic Arts,Sports
255,The Legend of Zelda: Skyward Sword,2011,Nintendo,Action
256,Street Fighter II Turbo,1992,Capcom,Fighting
257,Carnival Games,2007,Take-Two Interactive,Misc
258,World of Warcraft: The Burning Crusade,2007,Activision,Role-Playing
259,Fallout: New Vegas,2010,Bethesda Softworks,Role-Playing
260,God of War II,2007,Sony Computer Entertainment,Action
261,Forza Motorsport 2,2007,Microsoft Game Studios,Racing
262,World Soccer Winning Eleven 9,2005,Konami Digital Entertainment,Sports
263,Namco Museum Vol.3,1996,Sony Computer Entertainment,Misc
264,Tekken Tag Tournament,2000,Namco Bandai Games,Fighting
265,Far Cry 4,2014,Ubisoft,Shooter
266,Star Fox 64,1997,Nintendo,Shooter
267,Minecraft,2014,Sony Computer Entertainment Europe,Misc
268,Golf,1984,Nintendo,Sports
269,Professor Layton and the Diabolical Box,2007,Nintendo,Puzzle
270,Left 4 Dead 2,2009,Electronic Arts,Shooter
271,Namco Museum: 50th Anniversary,2005,Namco Bandai Games,Misc
272,EA Sports Active,2009,Electronic Arts,Sports
273,Assassin's Creed: Unity,2014,Ubisoft,Action
274,Donkey Kong Land,1994,Nintendo,Platform
275,Tony Hawk's Underground,2003,Activision,Sports
276,Assassin's Creed IV: Black Flag,2013,Ubisoft,Action
277,Monster Hunter 4 Ultimate,2014,Nintendo,Role-Playing
278,MotorStorm,2006,Sony Computer Entertainment,Racing
279,Tekken 5,2005,Namco Bandai Games,Fighting
280,Dragon Warrior III,1988,Enix Corporation,Role-Playing
281,Sports Champions,2010,Sony Computer Entertainment,Sports
282,NBA 2K16,2015,Take-Two Interactive,Sports
283,World Soccer Winning Eleven 8 International,2004,Konami Digital Entertainment,Sports
284,Flash Focus: Vision Training in Minutes a Day,2007,Nintendo,Misc
285,Namco Museum Vol.1,1995,Sony Computer Entertainment,Misc
286,The Legend of Zelda: Link's Awakening,1992,Nintendo,Action
287,Mario & Luigi: Bowser's Inside Story,2009,Nintendo,Role-Playing
288,Big Brain Academy: Wii Degree,2007,Nintendo,Misc
289,Nintendogs + cats,2011,Nintendo,Simulation
290,Batman: Arkham Knight,2015,Warner Bros. Interactive Entertainment,Action
291,Mario & Sonic at the London 2012 Olympic Games,2011,Sega,Sports
292,LEGO Indiana Jones: The Original Adventures,2008,Activision,Action
293,Resident Evil Director's Cut,1996,Virgin Interactive,Action
294,Ratchet & Clank: Size Matters,2007,Sony Computer Entertainment,Platform
295,Just Dance 2014,2013,Ubisoft,Misc
296,The Sims: Unleashed,2002,Electronic Arts,Simulation
297,Super Paper Mario,2007,Nintendo,Platform
298,Harry Potter and the Sorcerer's Stone,2001,Electronic Arts,Action
299,The Witcher 3: Wild Hunt,2015,Namco Bandai Games,Role-Playing
300,Resident Evil 3: Nemesis,1999,Eidos Interactive,Action
301,Spyro: Year of the Dragon,2000,Sony Computer Entertainment,Platform
302,FIFA Soccer 2005,2004,Electronic Arts,Sports
303,Pokemon Trading Card Game,1998,Nintendo,Strategy
304,Battlefield 4,2013,Electronic Arts,Shooter
305,MySims,2007,Electronic Arts,Simulation
306,Friend Collection,2009,Nintendo,Misc
307,Tony Hawk's Pro Skater 4,2002,Activision,Sports
308,Midnight Club 3: DUB Edition,2005,Take-Two Interactive,Racing
309,Banjo-Kazooie,1998,Nintendo,Platform
310,SOCOM: U.S. Navy SEALs,2002,Sony Computer Entertainment,Shooter
311,Guitar Hero: World Tour,2008,Activision,Misc
312,Gran Turismo 6,2013,Sony Computer Entertainment,Racing
313,Jak and Daxter: The Precursor Legacy,2001,Sony Computer Entertainment,Platform
314,Pokemon Snap,1999,Nintendo,Simulation
315,FIFA Soccer 10,2009,Electronic Arts,Sports
316,Pro Evolution Soccer 2008,2007,Konami Digital Entertainment,Sports
317,Resident Evil 4,2005,Capcom,Action
318,Tom Clancy's The Division,2016,Ubisoft,Shooter
319,Star Wars: Battlefront,2004,LucasArts,Shooter
320,Doom II: Hell on Earth,1994,Virgin Interactive,Shooter
321,The Simpsons: Road Rage,2001,Electronic Arts,Racing
322,Cooking Mama 2: Dinner With Friends,2007,505 Games,Simulation
323,Luigi's Mansion,2001,Nintendo,Action
324,Star Wars: Battlefront II,2005,LucasArts,Shooter
325,WWF SmackDown!,2000,THQ,Fighting
326,Croc: Legend of the Gobbos,1997,Fox Interactive,Platform
327,Grand Theft Auto: Liberty City Stories,2006,Take-Two Interactive,Action
328,The Getaway,2002,Sony Computer Entertainment,Action
329,Tomb Raider III: Adventures of Lara Croft,1997,Eidos Interactive,Action
330,James Bond 007: Agent Under Fire,2001,Electronic Arts,Shooter
331,LEGO Star Wars: The Video Game,2005,Eidos Interactive,Action
332,Rugrats in Paris: The Movie,2000,THQ,Action
333,Spyro 2: Ripto's Rage!,1999,Sony Computer Entertainment,Platform
334,Left 4 Dead,2008,Electronic Arts,Shooter
335,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Nintendo,Platform
336,Assassin's Creed: Brotherhood,2010,Ubisoft,Action
337,Kung Fu,1985,Nintendo,Action
338,Clubhouse Games,2006,Nintendo,Misc
339,FIFA Soccer 2004,2004,Electronic Arts,Sports
340,Battlefield: Bad Company 2,2010,Electronic Arts,Shooter
341,Guitar Hero: On Tour,2008,Activision,Misc
342,Far Cry 3,2012,Ubisoft,Shooter
343,Monster Hunter 4,2013,Capcom,Role-Playing
344,Borderlands,2009,Take-Two Interactive,Shooter
345,Tekken 4,2002,Namco Bandai Games,Fighting
346,LittleBigPlanet 2,2011,Sony Computer Entertainment,Platform
347,Grand Theft Auto 2,1998,Take-Two Interactive,Action
348,Final Fantasy III,1994,SquareSoft,Role-Playing
349,Spider-Man 2,2004,Activision,Action
350,F-1 Race,1990,Nintendo,Racing
351,FIFA Soccer 2003,2002,Electronic Arts,Sports
352,Crash Bash,2000,Sony Computer Entertainment,Misc
353,LEGO Batman: The Videogame,2008,Warner Bros. Interactive Entertainment,Action
354,Metal Gear Solid V: The Phantom Pain,2015,Konami Digital Entertainment,Action
355,The Legend of Zelda: Spirit Tracks,2009,Nintendo,Action
356,WWF War Zone,1998,Acclaim Entertainment,Fighting
357,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action
358,Professor Layton and the Unwound Future,2008,Nintendo,Puzzle
359,Rugrats: Search For Reptar,1998,THQ,Adventure
360,English Training: Have Fun Improving Your Skills!,2006,Nintendo,Misc
361,James Bond 007: Nightfire,2002,Electronic Arts,Shooter
362,Ratchet & Clank,2002,Sony Computer Entertainment,Platform
363,Mario Party 9,2012,Nintendo,Misc
364,Star Wars Episode III: Revenge of the Sith,2005,LucasArts,Action
365,Max Payne,2001,Take-Two Interactive,Shooter
366,The Lord of the Rings: The Return of the King,2003,Electronic Arts,Action
367,Assassin's Creed Syndicate,2015,Ubisoft,Action
368,True Crime: Streets of LA,2003,Activision,Action
369,Wii Music,2008,Nintendo,Misc
370,Gran Turismo ,2009,Sony Computer Entertainment,Racing
371,Monster Hunter X,2015,Capcom,Action
372,Tekken,1995,Sony Computer Entertainment,Fighting
373,L.A. Noire,2011,Take-Two Interactive,Adventure
374,Madden NFL 16,2015,Electronic Arts,Sports
375,Yokai Watch 2 Ganso/Honke,2014,Nintendo,Role-Playing
376,007: Tomorrow Never Dies,1999,Electronic Arts,Shooter
377,Baseball,1983,Nintendo,Sports
378,Killer Instinct,1995,Nintendo,Fighting
379,WWF SmackDown! 2: Know Your Role,2000,THQ,Fighting
380,Crisis Core: Final Fantasy VII,2007,Square Enix,Role-Playing
381,God of War: Chains of Olympus,2008,Sony Computer Entertainment,Action
382,Dragon Quest VI: Maboroshi no Daichi,1995,Enix Corporation,Role-Playing
383,Dance Central,2010,MTV Games,Misc
384,Enter the Matrix,2003,Atari,Action
385,Super Mario Maker,2015,Nintendo,Platform
386,Rhythm Heaven,2008,Nintendo,Misc
387,Ace Combat 04: Shattered Skies,2001,Sony Computer Entertainment Europe,Simulation
388,Club Penguin: Elite Penguin Force,2008,Disney Interactive Studios,Adventure
389,Animal Crossing,2001,Nintendo,Simulation
390,Sonic Rush,2005,Sega,Platform
391,Resident Evil 6,2012,Capcom,Shooter
392,Halo: The Master Chief Collection,2014,Microsoft Game Studios,Shooter
393,FIFA Soccer 08,2007,Electronic Arts,Sports
394,Spider-Man,2000,Activision,Action
395,Need for Speed III: Hot Pursuit,1998,Electronic Arts,Racing
396,Star Wars Episode I Racer,1999,Nintendo,Racing
397,Personal Trainer: Cooking,2006,Nintendo,Misc
398,The Elder Scrolls IV: Oblivion,2007,Ubisoft,Role-Playing
399,Dragon Warrior IV,1990,Enix Corporation,Role-Playing
400,Heavy Rain,2010,Sony Computer Entertainment,Adventure
401,Mass Effect 2,2010,Electronic Arts,Role-Playing
402,Dragon Ball Z: Budokai,2002,Atari,Fighting
403,Madden NFL 2002,2001,Electronic Arts,Sports
404,World Class Track Meet,1986,Namco Bandai Games,Sports
405,Borderlands 2,2012,Take-Two Interactive,Shooter
406,The Legend of Zelda: A Link Between Worlds,2013,Nintendo,Action
407,Donkey Kong,1994,Nintendo,Platform
408,The Sims: Vacation,2002,Electronic Arts,Simulation
409,Mass Effect 3,2012,Electronic Arts,Role-Playing
410,Kung Fu Panda,2008,Activision,Action
411,Epic Mickey,2010,Disney Interactive Studios,Platform
412,Saints Row 2,2008,THQ,Action
413,Rayman,1995,Ubisoft,Platform
414,Killzone 2,2009,Sony Computer Entertainment,Shooter
415,Tom Clancy's Splinter Cell,2002,Ubisoft,Action
416,Mike Tyson's Punch-Out!!,1987,Nintendo,Fighting
417,WWE SmackDown! Shut Your Mouth,2002,THQ,Sports
418,Gears of War: Ultimate Edition,2015,Microsoft Game Studios,Shooter
419,NBA 2K13,2012,Take-Two Interactive,Sports
420,Dragon Ball Z: Budokai Tenkaichi 3,2007,Atari,Fighting
421,wwe Smackdown vs. Raw 2006,2006,N/A,Fighting
422,Middle-Earth: Shadow of Mordor,2014,Warner Bros. Interactive Entertainment,Action
423,Star Fox,1993,Nintendo,Shooter
424,The Sims: Livin Large,2000,Electronic Arts,Misc
425,World Soccer Winning Eleven 6 International,2002,Konami Digital Entertainment,Sports
426,Devil May Cry,2001,Capcom,Action
427,Animal Crossing: Happy Home Designer,2015,Nintendo,Simulation
428,The Sims 4,2014,Electronic Arts,Simulation
429,Star Wars: The Old Republic,2011,Electronic Arts,Role-Playing
430,Sonic Heroes,2003,Sega,Platform
431,Kirby Super Star Ultra,2008,Nintendo,Platform
432,Hitman 2: Silent Assassin,2002,Eidos Interactive,Action
433,Wave Race 64,1996,Nintendo,Racing
434,SOCOM II: U.S. Navy SEALs,2003,Sony Computer Entertainment,Shooter
435,WWE SmackDown! vs. RAW 2006,2005,THQ,Fighting
436,inFAMOUS,2009,Sony Computer Entertainment,Action
437,Pac-Man Collection,2001,Atari,Puzzle
438,Mass Effect,2007,Microsoft Game Studios,Role-Playing
439,WarioWare: Smooth Moves,2006,Nintendo,Puzzle
440,Cooking Mama: Cook Off,2007,505 Games,Simulation
441,Super Mario World 2: Yoshi's Island,2002,Nintendo,Platform
442,Titanfall,2014,Electronic Arts,Shooter
443,Sonic Mega Collection Plus,2004,Sega,Misc
444,Sega Superstars Tennis,2008,Sega,Sports
445,World Soccer Winning Eleven 7 International,2003,Konami Digital Entertainment,Sports
446,Need for Speed: Most Wanted,2012,Electronic Arts,Racing
447,Hot Shots Golf 3,2001,Sony Computer Entertainment,Sports
448,Call of Duty: Finest Hour,2004,Activision,Shooter
449,Zumba Fitness 2,2011,Majesco Entertainment,Sports
450,Syphon Filter,1999,Sony Computer Entertainment,Shooter
451,Imagine: Babyz,2007,Ubisoft,Simulation
452,Colin McRae Rally,1998,Codemasters,Racing
453,Madden NFL 13,2012,Electronic Arts,Sports
454,The Elder Scrolls III: Morrowind,2002,Ubisoft,Role-Playing
455,Mortal Kombat,2011,Warner Bros. Interactive Entertainment,Fighting
456,F-Zero,1990,Nintendo,Racing
457,Yoshi's Story,1997,Nintendo,Platform
458,Command & Conquer: Red Alert,1996,Virgin Interactive,Strategy
459,Skylanders: Spyro's Adventure,2011,Activision,Action
460,BioShock,2007,Take-Two Interactive,Shooter
461,Madden NFL 10,2009,Electronic Arts,Sports
462,Medal of Honor,2010,Electronic Arts,Shooter
463,WWE SmackDown! vs. Raw,2002,THQ,Fighting
464,Metroid Prime,2002,Nintendo,Shooter
465,Finding Nemo,2003,THQ,Action
466,Myst,1994,Red Orb,Adventure
467,Need for Speed: Hot Pursuit,2010,Electronic Arts,Racing
468,Imagine: Fashion Designer,2007,Ubisoft,Simulation
469,WWE SmackDown! Here Comes the Pain,2003,THQ,Fighting
470,Star Wars: The Force Unleashed,2008,LucasArts,Action
471,Yoshi's Island DS,2006,Nintendo,Platform
472,Hot Shots Golf,1997,Sony Computer Entertainment,Sports
473,Killzone 3,2011,Sony Computer Entertainment,Shooter
474,A Bug's Life,1998,Sony Computer Entertainment,Platform
475,WWF SmackDown! Just Bring It,2001,THQ,Fighting
476,Dragon Quest V: Tenkuu no Hanayome,1992,Enix Corporation,Role-Playing
477,Mortal Kombat Trilogy,1996,GT Interactive,Fighting
